1,895.31,0.23,77.0,70.48,4.07,0.34

1,963.88,0.14,86.0,49.09,4.63,0.34

2,526.28,0.17,83.0,73.74,9.45,0.31
,846.64,0.28,72.0,60.08,3.85,0.31
3,183.0,0.27,73.0,51.33,13.12,0.27
,883.08,0.2,80.0,76.76,4.71,0.27
3,540.4,0.18,82.0,47.01,9.19,0.27
4,367.0,0.13,87.0,49.33,11.63,0.33

4,724.8,0.24,76.0,90.31,6.15,0.33

5,793.62,0.28,72.0,48.19,4.59,0.3

,562.53,0.22,78.0,45.07,8.51,0.3

6,720.0,0.2,80.0,79.71,6.75,0.26
6,647.48,0.22,78.0,55.37,7.42,0.26

7,718.76,0.15,85.0,45.18,7.37,0.41
77,870.91,0.27,73.0,84.08,3.7,0.41

8,678.0,0.26,74.0,69.26,6.49,0.3

8,981.0,0.19,81.0,58.36,3.65,0.3

8,996.0,0.26,74.0,34.84,2.19,0.3
8,426.61,0.23,77.0,67.7,10.16,0.3
9,402.0,0.22,78.0,112.46,10.56,0.26
9,1000.93,0.3,70.0,112.92,1.27,0.26
9,889.62,0.17,83.0,72.95,5.08,0.26
9,957.6,0.18,82.0,60.6,4.1,0.26
10,907.6,0.21,79.0,81.18,4.25,0.32


10,793.88,0.29,71.0,62.56,4.41,0.32
10,617.0,0.15,85.0,67.39,8.56,0.32
11,309.0,0.27,73.0,96.62,11.4,0.28
111,638.0,0.18,82.0,40.15,8.0,0.28
11,617.84,0.18,82.0,55.95,8.25,0.28
12,601.74,0.23,77.0,40.41,7.89,0.29
12,939.0,0.16,84.0,87.47,4.63,0.29
12,236.0,0.26,74.0,76.73,12.46,0.29
12,924.13,0.2,80.0,53.87,4.2,0.29
12,446.0,0.22,78.0,56.41,10.0,0.29
13,647.2,0.2,80.0,55.67,7.66,0.26

13,525.87,0.16,84.0,79.39,9.55,0.26
13,330.0,0.2,80.0,45.78,11.62,0.26
13,647.0,0.17,83.0,53.27,8.0,0.26
13,561.7,0.23,77.0,64.83,8.41,0.26

14,843.88,0.26,74.0,77.56,4.24,0.26
14,635.25,0.22,78.0,70.06,7.57,0.26
14,845.6,0.21,79.0,111.36,5.03,0.26
14,734.33,0.15,85.0,70.56,7.18,0.26
14,428.94,0.2,80.0,128.58,10.39,0.26
15,654.08,0.21,79.0,96.26,7.45,0.27
15,915.02,0.31,69.0,81.19,2.29,0.27
15,291.0,0.23,77.0,44.63,11.92,0.27
15,1131.48,0.13,87.0,102.75,2.84,0.27
16,341.0,0.21,79.0,87.33,11.42,0.25
16,916.92,0.21,79.0,89.4,4.13,0.25

16,466.0,0.14,86.0,76.36,10.42,0.25
